order_id,order_arrival,process_start_time,order_complete_time,station_id
-50,0,1,60,picker-2
-45,0,1,80,picker-2
-30,0,1,92,picker-3
-36,0,1,134,picker-2
-46,0,1,155,picker-1
-37,0,1,162,picker-2
-27,0,1,190,picker-2
-22,0,1,253,picker-3
-44,0,1,278,picker-1
-43,0,1,301,picker-1
-21,0,1,345,picker-1
-2,0,1,439,picker-2
-42,0,61,510,picker-2
-49,0,1,514,picker-3
-48,0,1,536,picker-3
-47,0,1,558,picker-3
-40,0,93,581,picker-3
-34,0,191,590,picker-2
-31,0,1,604,picker-1
-32,0,279,624,picker-1
-1,0,1,634,picker-3
-28,0,346,649,picker-1
-29,0,302,672,picker-1
-24,0,515,724,picker-3
-25,0,511,745,picker-2
-39,0,135,765,picker-2
-35,0,163,801,picker-2
-19,0,582,866,picker-3
-33,0,254,911,picker-3
-14,0,635,955,picker-3
-15,0,625,958,picker-1
-13,0,650,980,picker-1
-41,0,81,997,picker-2
-10,0,746,1063,picker-2
-11,0,725,1092,picker-3
-16,0,605,1118,picker-1
-20,0,559,1177,picker-3
-8,0,802,1215,picker-2
-6,0,912,1288,picker-3
-5,0,956,1311,picker-3
-38,0,156,1437,picker-1
-12,0,673,1457,picker-1
1,360,1064,1600,picker-2
4,540,1178,1637,picker-3
