order_id,order_arrival,process_start_time,order_complete_time,station_id
-47,0,1,37,picker-3
-31,0,1,95,picker-2
-44,0,1,112,picker-3
-23,0,1,112,picker-3
-41,0,1,115,picker-2
-42,0,1,181,picker-3
-14,0,1,199,picker-2
-48,0,1,203,picker-3
-45,0,1,257,picker-1
-5,0,1,287,picker-2
-3,0,1,287,picker-2
-18,0,1,292,picker-3
-22,0,1,331,picker-1
-17,0,1,331,picker-1
-18,0,1,339,picker-3
-50,0,1,347,picker-2
-21,0,1,365,picker-1
-49,0,38,379,picker-3
-15,0,1,400,picker-1
-43,0,113,424,picker-3
-45,0,1,452,picker-1
-22,0,1,452,picker-1
-21,0,1,452,picker-1
-17,0,1,452,picker-1
-15,0,1,452,picker-1
-5,0,1,463,picker-2
-40,0,113,465,picker-3
-50,0,1,514,picker-2
-6,0,1,519,picker-1
-38,0,182,527,picker-3
-46,0,96,536,picker-2
-36,0,204,588,picker-3
-35,0,258,627,picker-1
-46,0,96,631,picker-2
-50,0,1,681,picker-2
-39,0,116,704,picker-2
-37,0,200,732,picker-2
-5,0,1,732,picker-2
-30,0,332,841,picker-1
-32,0,293,845,picker-3
-35,0,258,897,picker-1
-34,0,288,932,picker-2
-29,0,332,978,picker-1
-6,0,1,1004,picker-1
-34,0,288,1027,picker-2
-27,0,366,1044,picker-1
-26,0,380,1072,picker-3
-6,0,1,1075,picker-1
-50,0,1,1084,picker-2
-39,0,116,1084,picker-2
-33,0,288,1129,picker-2
-25,0,401,1135,picker-1
-19,0,520,1161,picker-1
-28,0,348,1173,picker-2
-20,0,466,1225,picker-3
-24,0,425,1292,picker-3
-13,0,537,1599,picker-2
-10,0,705,1712,picker-2
-11,0,628,1717,picker-1
-34,0,288,1738,picker-2
