order_id,order_arrival,process_start_time,order_complete_time,station_id
-39,0,1,82,picker-1
-20,0,1,99,picker-1
-46,0,1,135,picker-2
-31,0,1,135,picker-2
-37,0,1,160,picker-2
-47,0,1,170,picker-3
-18,0,1,170,picker-3
-29,0,1,186,picker-1
-22,0,1,186,picker-2
-28,0,1,187,picker-3
-50,0,1,207,picker-1
-44,0,1,217,picker-1
-14,0,1,232,picker-1
-19,0,1,234,picker-3
-10,0,1,253,picker-3
-2,0,1,261,picker-3
-49,0,1,294,picker-2
-45,0,83,327,picker-1
-48,0,1,369,picker-2
-43,0,100,379,picker-1
-40,0,161,451,picker-2
-42,0,136,461,picker-2
-38,0,171,469,picker-3
-36,0,171,478,picker-3
-41,0,136,492,picker-2
-34,0,187,508,picker-1
-35,0,187,511,picker-2
-30,0,218,516,picker-1
-33,0,188,529,picker-3
-32,0,208,571,picker-1
-26,0,235,590,picker-3
-27,0,233,600,picker-1
-25,0,254,654,picker-3
-24,0,262,662,picker-3
-23,0,295,664,picker-2
-17,0,370,673,picker-2
-21,0,328,689,picker-1
-16,0,380,720,picker-1
-13,0,462,726,picker-2
-15,0,452,734,picker-2
-11,0,479,783,picker-3
-8,0,509,788,picker-1
-12,0,470,791,picker-3
-9,0,493,821,picker-2
-7,0,512,852,picker-2
-6,0,517,857,picker-1
-1,0,601,865,picker-1
-4,0,572,873,picker-1
-5,0,530,895,picker-3
-3,0,591,923,picker-3
2,360,665,928,picker-2
0,360,655,934,picker-3
1,360,663,965,picker-3
3,360,674,994,picker-2
4,480,690,1005,picker-1
5,540,721,1021,picker-1
6,540,727,1031,picker-2
7,600,735,1057,picker-2
9,600,789,1136,picker-1
8,600,784,1147,picker-3
10,660,792,1157,picker-3
12,780,853,1177,picker-2
13,900,900,1177,picker-1
11,660,822,1193,picker-2
14,960,960,1210,picker-2
18,1020,1020,1232,picker-1
17,960,960,1261,picker-3
15,960,960,1264,picker-1
16,960,960,1273,picker-1
20,1140,1140,1281,picker-1
19,1020,1020,1313,picker-3
21,1140,1140,1344,picker-3
22,1200,1200,1348,picker-2
24,1320,1320,1371,picker-1
