order_id,order_arrival,process_start_time,order_complete_time,station_id
-36,0,1,58,picker-2
-37,0,1,90,picker-2
-50,0,1,117,picker-2
-45,0,1,145,picker-2
-48,0,1,181,picker-1
-34,0,1,181,picker-1
-27,0,1,202,picker-2
-21,0,1,226,picker-1
-49,0,1,296,picker-3
-35,0,1,310,picker-1
-2,0,1,313,picker-2
-47,0,1,363,picker-3
-44,0,59,380,picker-2
-17,0,1,410,picker-1
-3,0,1,414,picker-3
-40,0,182,474,picker-1
-32,0,227,535,picker-1
-42,0,118,536,picker-2
-46,0,1,550,picker-3
-30,0,311,555,picker-1
-28,0,364,575,picker-3
-43,0,91,603,picker-2
-25,0,411,633,picker-1
-24,0,415,656,picker-3
-39,0,182,680,picker-1
-38,0,1,696,picker-3
-29,0,314,714,picker-2
-22,0,475,790,picker-1
-19,0,537,803,picker-2
-15,0,576,870,picker-3
-14,0,604,871,picker-2
-33,0,203,893,picker-2
-10,0,697,960,picker-3
-13,0,634,980,picker-1
-16,0,556,980,picker-1
-6,0,804,1089,picker-2
-41,0,146,1109,picker-2
-5,0,871,1113,picker-3
-11,0,681,1114,picker-1
-8,0,791,1180,picker-1
-20,0,536,1203,picker-1
1,360,981,1274,picker-1
-12,0,657,1375,picker-3
2,480,981,1496,picker-1
4,540,1110,1529,picker-2
6,660,1115,1547,picker-1
-1,0,894,1551,picker-2
7,660,1181,1636,picker-1
10,720,1376,1695,picker-3
12,780,1530,1774,picker-2
5,600,1114,1794,picker-3
14,780,1552,1795,picker-2
9,720,1275,1836,picker-1
11,780,1497,1903,picker-1
13,780,1548,1948,picker-1
15,840,1637,1970,picker-1
18,1080,1795,1995,picker-3
16,1020,1696,2079,picker-3
20,1080,1837,2086,picker-1
21,1080,1904,2166,picker-1
24,1200,1996,2244,picker-3
23,1140,1971,2266,picker-1
26,1260,2087,2327,picker-1
25,1200,2080,2366,picker-3
-7,0,1,2535,picker-3
30,1440,2328,2577,picker-1
28,1320,2245,2682,picker-3
33,1560,2578,2800,picker-1
34,1560,2683,2875,picker-3
35,1620,2801,3045,picker-1
37,1680,3046,3222,picker-1
38,1680,3223,3380,picker-1
