pod_id,sku,limit_qty,current_qty,threshold
1,726,999,999,5
1,290,999,999,5
1,955,999,999,5
1,701,999,999,5
1,957,999,999,5
2,724,999,999,5
2,262,999,999,5
2,964,999,999,5
2,248,999,999,5
2,699,999,999,5
3,124,999,999,5
3,353,999,999,5
3,713,999,999,5
3,728,999,999,5
3,561,999,999,5
4,473,999,999,5
4,953,999,999,5
4,635,999,999,5
4,668,999,999,5
4,865,999,999,5
5,404,999,999,5
5,212,999,999,5
5,876,999,999,5
5,767,999,999,5
5,709,999,999,5
6,442,999,999,5
6,748,999,999,5
6,302,999,999,5
6,947,999,999,5
6,12,999,999,5
7,294,999,999,5
7,394,999,999,5
7,871,999,999,5
7,740,999,999,5
7,84,999,999,5
8,5,999,999,5
8,829,999,999,5
8,46,999,999,5
8,951,999,999,5
8,731,999,999,5
9,459,999,999,5
9,219,999,999,5
9,295,999,999,5
9,734,999,999,5
9,802,999,999,5
10,246,999,999,5
10,518,999,999,5
10,820,999,999,5
10,299,999,999,5
10,72,999,999,5
11,587,999,999,5
11,761,999,999,5
11,672,999,999,5
11,33,999,999,5
11,122,999,999,5
12,237,999,999,5
12,608,999,999,5
12,183,999,999,5
12,304,999,999,5
12,785,999,999,5
13,678,999,999,5
13,942,999,999,5
13,619,999,999,5
13,333,999,999,5
13,13,999,999,5
14,157,999,999,5
14,588,999,999,5
14,693,999,999,5
14,956,999,999,5
14,770,999,999,5
15,413,999,999,5
15,393,999,999,5
15,406,999,999,5
15,873,999,999,5
15,88,999,999,5
16,408,999,999,5
16,105,999,999,5
16,207,999,999,5
16,771,999,999,5
16,803,999,999,5
17,552,999,999,5
17,985,999,999,5
17,289,999,999,5
17,340,999,999,5
17,821,999,999,5
18,799,999,999,5
18,52,999,999,5
18,872,999,999,5
18,515,999,999,5
18,117,999,999,5
19,240,999,999,5
19,759,999,999,5
19,431,999,999,5
19,53,999,999,5
19,49,999,999,5
20,318,999,999,5
20,308,999,999,5
20,993,999,999,5
20,950,999,999,5
20,502,999,999,5
21,513,999,999,5
21,247,999,999,5
21,617,999,999,5
21,851,999,999,5
21,231,999,999,5
22,104,999,999,5
22,600,999,999,5
22,838,999,999,5
22,103,999,999,5
22,926,999,999,5
23,752,999,999,5
23,661,999,999,5
23,556,999,999,5
23,760,999,999,5
23,130,999,999,5
24,433,999,999,5
24,986,999,999,5
24,723,999,999,5
24,206,999,999,5
24,658,999,999,5
25,667,999,999,5
25,185,999,999,5
25,197,999,999,5
25,882,999,999,5
25,650,999,999,5
26,133,999,999,5
26,846,999,999,5
26,488,999,999,5
26,245,999,999,5
26,45,999,999,5
27,409,999,999,5
27,220,999,999,5
27,677,999,999,5
27,79,999,999,5
27,57,999,999,5
28,56,999,999,5
28,623,999,999,5
28,571,999,999,5
28,773,999,999,5
28,139,999,999,5
29,42,999,999,5
29,527,999,999,5
29,733,999,999,5
29,756,999,999,5
29,261,999,999,5
30,976,999,999,5
30,36,999,999,5
30,401,999,999,5
30,966,999,999,5
30,715,999,999,5
31,907,999,999,5
31,811,999,999,5
31,368,999,999,5
31,607,999,999,5
31,921,999,999,5
32,738,999,999,5
32,508,999,999,5
32,443,999,999,5
32,743,999,999,5
32,58,999,999,5
33,648,999,999,5
33,645,999,999,5
33,937,999,999,5
33,9,999,999,5
33,37,999,999,5
34,154,999,999,5
34,375,999,999,5
34,646,999,999,5
34,930,999,999,5
34,282,999,999,5
35,226,999,999,5
35,559,999,999,5
35,215,999,999,5
35,266,999,999,5
35,62,999,999,5
36,182,999,999,5
36,60,999,999,5
36,434,999,999,5
36,95,999,999,5
36,519,999,999,5
37,776,999,999,5
37,621,999,999,5
37,609,999,999,5
37,595,999,999,5
37,988,999,999,5
38,102,999,999,5
38,804,999,999,5
38,399,999,999,5
38,974,999,999,5
38,485,999,999,5
39,25,999,999,5
39,68,999,999,5
39,454,999,999,5
39,632,999,999,5
39,35,999,999,5
40,604,999,999,5
40,780,999,999,5
40,841,999,999,5
40,136,999,999,5
40,315,999,999,5
41,694,999,999,5
41,174,999,999,5
41,516,999,999,5
41,584,999,999,5
41,165,999,999,5
42,63,999,999,5
42,579,999,999,5
42,990,999,999,5
42,818,999,999,5
42,30,999,999,5
43,496,999,999,5
43,948,999,999,5
43,230,999,999,5
43,322,999,999,5
43,120,999,999,5
44,2,999,999,5
44,198,999,999,5
44,85,999,999,5
44,801,999,999,5
44,194,999,999,5
45,173,999,999,5
45,499,999,999,5
45,398,999,999,5
45,973,999,999,5
45,86,999,999,5
46,550,999,999,5
46,511,999,999,5
46,913,999,999,5
46,134,999,999,5
46,384,999,999,5
47,989,999,999,5
47,991,999,999,5
47,765,999,999,5
47,141,999,999,5
47,911,999,999,5
48,823,999,999,5
48,456,999,999,5
48,243,999,999,5
48,706,999,999,5
48,424,999,999,5
49,461,999,999,5
49,107,999,999,5
49,41,999,999,5
49,132,999,999,5
49,603,999,999,5
50,708,999,999,5
50,565,999,999,5
50,420,999,999,5
50,316,999,999,5
50,193,999,999,5
51,80,999,999,5
51,863,999,999,5
51,70,999,999,5
51,365,999,999,5
51,772,999,999,5
52,652,999,999,5
52,796,999,999,5
52,983,999,999,5
52,156,999,999,5
52,474,999,999,5
53,655,999,999,5
53,199,999,999,5
53,276,999,999,5
53,666,999,999,5
53,181,999,999,5
54,793,999,999,5
54,18,999,999,5
54,147,999,999,5
54,227,999,999,5
54,323,999,999,5
55,211,999,999,5
55,110,999,999,5
55,371,999,999,5
55,190,999,999,5
55,611,999,999,5
56,362,999,999,5
56,78,999,999,5
56,373,999,999,5
56,680,999,999,5
56,862,999,999,5
57,54,999,999,5
57,337,999,999,5
57,842,999,999,5
57,908,999,999,5
57,447,999,999,5
58,241,999,999,5
58,755,999,999,5
58,563,999,999,5
58,89,999,999,5
58,593,999,999,5
59,909,999,999,5
59,928,999,999,5
59,572,999,999,5
59,490,999,999,5
59,775,999,999,5
60,149,999,999,5
60,293,999,999,5
60,778,999,999,5
60,228,999,999,5
60,949,999,999,5
61,700,999,999,5
61,585,999,999,5
61,307,999,999,5
61,127,999,999,5
61,306,999,999,5
62,768,999,999,5
62,478,999,999,5
62,732,999,999,5
62,580,999,999,5
62,897,999,999,5
63,4,999,999,5
63,754,999,999,5
63,390,999,999,5
63,984,999,999,5
63,395,999,999,5
64,980,999,999,5
64,328,999,999,5
64,808,999,999,5
64,429,999,999,5
64,98,999,999,5
65,463,999,999,5
65,449,999,999,5
65,589,999,999,5
65,112,999,999,5
65,905,999,999,5
66,440,999,999,5
66,843,999,999,5
66,493,999,999,5
66,784,999,999,5
66,66,999,999,5
67,19,999,999,5
67,874,999,999,5
67,273,999,999,5
67,510,999,999,5
67,196,999,999,5
68,367,999,999,5
68,92,999,999,5
68,647,999,999,5
68,83,999,999,5
68,346,999,999,5
69,208,999,999,5
69,692,999,999,5
69,577,999,999,5
69,363,999,999,5
69,465,999,999,5
70,213,999,999,5
70,229,999,999,5
70,466,999,999,5
70,549,999,999,5
70,64,999,999,5
71,448,999,999,5
71,631,999,999,5
71,387,999,999,5
71,374,999,999,5
71,852,999,999,5
72,77,999,999,5
72,351,999,999,5
72,850,999,999,5
72,108,999,999,5
72,298,999,999,5
73,696,999,999,5
73,421,999,999,5
73,69,999,999,5
73,119,999,999,5
73,879,999,999,5
74,651,999,999,5
74,75,999,999,5
74,644,999,999,5
74,887,999,999,5
74,719,999,999,5
75,81,999,999,5
75,945,999,999,5
75,336,999,999,5
75,554,999,999,5
75,503,999,999,5
76,890,999,999,5
76,324,999,999,5
76,254,999,999,5
76,160,999,999,5
76,140,999,999,5
77,916,999,999,5
77,860,999,999,5
77,555,999,999,5
77,411,999,999,5
77,857,999,999,5
78,959,999,999,5
78,350,999,999,5
78,898,999,999,5
78,376,999,999,5
78,717,999,999,5
79,952,999,999,5
79,475,999,999,5
79,982,999,999,5
79,826,999,999,5
79,101,999,999,5
80,345,999,999,5
80,920,999,999,5
80,736,999,999,5
80,710,999,999,5
80,884,999,999,5
81,602,999,999,5
81,520,999,999,5
81,934,999,999,5
81,28,999,999,5
81,987,999,999,5
82,146,999,999,5
82,558,999,999,5
82,807,999,999,5
82,428,999,999,5
82,270,999,999,5
83,900,999,999,5
83,583,999,999,5
83,777,999,999,5
83,626,999,999,5
83,415,999,999,5
84,849,999,999,5
84,388,999,999,5
84,560,999,999,5
84,889,999,999,5
84,750,999,999,5
85,664,999,999,5
85,833,999,999,5
85,547,999,999,5
85,594,999,999,5
85,739,999,999,5
86,180,999,999,5
86,51,999,999,5
86,492,999,999,5
86,498,999,999,5
86,969,999,999,5
87,67,999,999,5
87,737,999,999,5
87,825,999,999,5
87,634,999,999,5
87,940,999,999,5
88,48,999,999,5
88,8,999,999,5
88,961,999,999,5
88,683,999,999,5
88,615,999,999,5
89,901,999,999,5
89,467,999,999,5
89,967,999,999,5
89,142,999,999,5
89,169,999,999,5
90,753,999,999,5
90,788,999,999,5
90,153,999,999,5
90,783,999,999,5
90,129,999,999,5
91,684,999,999,5
91,138,999,999,5
91,616,999,999,5
91,347,999,999,5
91,472,999,999,5
92,590,999,999,5
92,242,999,999,5
92,288,999,999,5
92,923,999,999,5
92,114,999,999,5
93,933,999,999,5
93,6,999,999,5
93,343,999,999,5
93,0,999,999,5
93,221,999,999,5
94,123,999,999,5
94,578,999,999,5
94,430,999,999,5
94,929,999,999,5
94,612,999,999,5
95,938,999,999,5
95,383,999,999,5
95,514,999,999,5
95,730,999,999,5
95,847,999,999,5
96,269,999,999,5
96,310,999,999,5
96,239,999,999,5
96,446,999,999,5
96,886,999,999,5
97,325,999,999,5
97,487,999,999,5
97,29,999,999,5
97,189,999,999,5
97,962,999,999,5
98,538,999,999,5
98,830,999,999,5
98,881,999,999,5
98,150,999,999,5
98,960,999,999,5
99,370,999,999,5
99,845,999,999,5
99,217,999,999,5
99,575,999,999,5
99,999,999,999,5
100,403,999,999,5
100,880,999,999,5
100,321,999,999,5
100,264,999,999,5
100,281,999,999,5
101,675,999,999,5
101,97,999,999,5
101,848,999,999,5
101,636,999,999,5
101,918,999,999,5
102,356,999,999,5
102,236,999,999,5
102,483,999,999,5
102,925,999,999,5
102,263,999,999,5
103,486,999,999,5
103,128,999,999,5
103,822,999,999,5
103,436,999,999,5
103,640,999,999,5
104,856,999,999,5
104,285,999,999,5
104,252,999,999,5
104,757,999,999,5
104,233,999,999,5
105,521,999,999,5
105,148,999,999,5
105,691,999,999,5
105,155,999,999,5
105,416,999,999,5
106,377,999,999,5
106,581,999,999,5
106,191,999,999,5
106,113,999,999,5
106,484,999,999,5
107,407,999,999,5
107,93,999,999,5
107,963,999,999,5
107,837,999,999,5
107,71,999,999,5
108,885,999,999,5
108,152,999,999,5
108,545,999,999,5
108,24,999,999,5
108,11,999,999,5
109,817,999,999,5
109,954,999,999,5
109,665,999,999,5
109,894,999,999,5
109,745,999,999,5
110,106,999,999,5
110,65,999,999,5
110,899,999,999,5
110,858,999,999,5
110,564,999,999,5
111,638,999,999,5
111,941,999,999,5
111,742,999,999,5
111,222,999,999,5
111,662,999,999,5
112,450,999,999,5
112,476,999,999,5
112,592,999,999,5
112,939,999,999,5
112,685,999,999,5
113,73,999,999,5
113,223,999,999,5
113,812,999,999,5
113,570,999,999,5
113,932,999,999,5
114,537,999,999,5
114,359,999,999,5
114,320,999,999,5
114,663,999,999,5
114,354,999,999,5
115,505,999,999,5
115,348,999,999,5
115,497,999,999,5
115,331,999,999,5
