pod_id,pod_type,slot_id,slot_type,item,unusedColumn1,unusedColumn2,unusedColumn3,qty,max_qty,due_date,facing,pick_ind,slot_sequence,item_weight,total_item_weight,item_pod_inventory_level,item_warehouse_inventory_level
0,0,0,0,143,0,0,0,48,48,99999,0,0,0,0.25,12.0,0.5,0.5
0,0,1,0,317,0,0,0,12,12,99999,0,0,1,0.425,5.1,0.6,0.6
0,0,2,0,29,0,0,0,360,360,99999,0,0,2,0.274,98.64,0.4,0.4
0,0,3,0,25,0,0,0,30,30,99999,0,0,3,0.454,13.62,0.4,0.4
0,0,4,0,9,0,0,0,180,180,99999,0,0,4,0.1,18.0,0.4,0.4
0,0,5,0,475,0,0,0,60,60,99999,0,0,5,0.871,52.26,0.6,0.6
0,0,6,0,245,0,0,0,456,456,99999,0,0,6,0.217,98.952,0.6,0.6
0,0,7,0,119,0,0,0,74,74,99999,0,0,7,0.2,14.8,0.5,0.5
0,0,8,0,306,0,0,0,36,36,99999,0,0,8,0.308,11.088,0.6,0.6
0,0,9,0,187,0,0,0,12,12,99999,0,0,9,0.463,5.556,0.5,0.5
1,0,0,0,25,0,0,0,30,30,99999,0,0,10,0.454,13.62,0.4,0.4
1,0,1,0,481,0,0,0,210,210,99999,0,0,11,0.104,21.84,0.6,0.6
1,0,2,0,108,0,0,0,210,210,99999,0,0,12,0.108,22.68,0.5,0.5
1,0,3,0,5,0,0,0,192,192,99999,0,0,13,0.417,80.064,0.4,0.4
1,0,4,0,287,0,0,0,31,31,99999,0,0,14,1.0,31.0,0.6,0.6
1,0,5,0,158,0,0,0,96,96,99999,0,0,15,0.633,60.768,0.5,0.5
1,0,6,0,22,0,0,0,72,72,99999,0,0,16,0.125,9.0,0.4,0.4
1,0,7,0,326,0,0,0,36,36,99999,0,0,17,0.373,13.428,0.6,0.6
1,0,8,0,223,0,0,0,24,24,99999,0,0,18,0.522,12.528,0.6,0.6
1,0,9,0,131,0,0,0,54,54,99999,0,0,19,0.287,15.498,0.5,0.5
2,0,0,0,370,0,0,0,240,240,99999,0,0,20,0.415,99.6,0.6,0.6
2,0,1,0,4,0,0,0,6,6,99999,0,0,21,0.425,2.55,0.4,0.4
2,0,2,0,154,0,0,0,360,360,99999,0,0,22,0.274,98.64,0.5,0.5
2,0,3,0,86,0,0,0,80,80,99999,0,0,23,0.179,14.32,0.5,0.5
2,0,4,0,469,0,0,0,13,13,99999,0,0,24,0.8,10.4,0.6,0.6
2,0,5,0,107,0,0,0,36,36,99999,0,0,25,0.304,10.944,0.5,0.5
2,0,6,0,27,0,0,0,336,336,99999,0,0,26,0.267,89.712,0.4,0.4
2,0,7,0,55,0,0,0,72,72,99999,0,0,27,0.15,10.8,0.5,0.5
2,0,8,0,208,0,0,0,48,48,99999,0,0,28,0.208,9.984,0.6,0.6
2,0,9,0,493,0,0,0,72,72,99999,0,0,29,0.931,67.032,0.6,0.6
3,0,0,0,361,0,0,0,312,312,99999,0,0,30,0.328,102.336,0.6,0.6
3,0,1,0,376,0,0,0,36,36,99999,0,0,31,0.218,7.848,0.6,0.6
3,0,2,0,4,0,0,0,6,6,99999,0,0,32,0.425,2.55,0.4,0.4
3,0,3,0,1,0,0,0,72,72,99999,0,0,33,0.125,9.0,0.4,0.4
3,0,4,0,336,0,0,0,96,96,99999,0,0,34,0.648,62.208,0.6,0.6
3,0,5,0,229,0,0,0,48,48,99999,0,0,35,0.291,13.968,0.6,0.6
3,0,6,0,499,0,0,0,240,240,99999,0,0,36,0.336,80.64,0.6,0.6
3,0,7,0,405,0,0,0,77,77,99999,0,0,37,0.2,15.4,0.6,0.6
3,0,8,0,162,0,0,0,24,24,99999,0,0,38,0.698,16.752,0.5,0.5
3,0,9,0,32,0,0,0,96,96,99999,0,0,39,0.125,12.0,0.4,0.4
4,0,0,0,38,0,0,0,384,384,99999,0,0,40,0.275,105.6,0.4,0.4
4,0,1,0,309,0,0,0,50,50,99999,0,0,41,0.275,13.75,0.6,0.6
4,0,2,0,40,0,0,0,24,24,99999,0,0,42,2.218,53.232,0.4,0.4
4,0,3,0,485,0,0,0,50,50,99999,0,0,43,0.308,15.4,0.6,0.6
4,0,4,0,461,0,0,0,60,60,99999,0,0,44,0.322,19.32,0.6,0.6
4,0,5,0,4,0,0,0,6,6,99999,0,0,45,0.425,2.55,0.4,0.4
4,0,6,0,448,0,0,0,77,77,99999,0,0,46,0.2,15.4,0.6,0.6
4,0,7,0,167,0,0,0,240,240,99999,0,0,47,0.284,68.16,0.5,0.5
4,0,8,0,180,0,0,0,216,216,99999,0,0,48,0.408,88.128,0.5,0.5
4,0,9,0,86,0,0,0,80,80,99999,0,0,49,0.179,14.32,0.5,0.5
5,0,0,0,40,0,0,0,24,24,99999,0,0,50,2.218,53.232,0.4,0.4
5,0,1,0,48,0,0,0,360,360,99999,0,0,51,0.275,99.0,0.4,0.4
5,0,2,0,195,0,0,0,30,30,99999,0,0,52,0.589,17.67,0.5,0.5
5,0,3,0,189,0,0,0,36,36,99999,0,0,53,0.342,12.312,0.5,0.5
5,0,4,0,75,0,0,0,12,12,99999,0,0,54,1.138,13.656,0.5,0.5
5,0,5,0,479,0,0,0,72,72,99999,0,0,55,0.465,33.48,0.6,0.6
5,0,6,0,41,0,0,0,80,80,99999,0,0,56,0.152,12.16,0.4,0.4
5,0,7,0,24,0,0,0,20,20,99999,0,0,57,0.441,8.82,0.4,0.4
5,0,8,0,341,0,0,0,96,96,99999,0,0,58,0.665,63.84,0.6,0.6
5,0,9,0,92,0,0,0,30,30,99999,0,0,59,0.348,10.44,0.5,0.5
6,0,0,0,27,0,0,0,336,336,99999,0,0,60,0.267,89.712,0.4,0.4
6,0,1,0,22,0,0,0,72,72,99999,0,0,61,0.125,9.0,0.4,0.4
6,0,2,0,65,0,0,0,24,24,99999,0,0,62,0.49,11.76,0.5,0.5
6,0,3,0,327,0,0,0,8,8,99999,0,0,63,1.0,8.0,0.6,0.6
6,0,4,0,436,0,0,0,32,32,99999,0,0,64,2.162,69.184,0.6,0.6
6,0,5,0,178,0,0,0,96,96,99999,0,0,65,0.732,70.272,0.5,0.5
6,0,6,0,82,0,0,0,168,168,99999,0,0,66,0.446,74.928,0.5,0.5
6,0,7,0,109,0,0,0,264,264,99999,0,0,67,0.283,74.712,0.5,0.5
6,0,8,0,53,0,0,0,12,12,99999,0,0,68,0.335,4.02,0.5,0.5
6,0,9,0,173,0,0,0,96,96,99999,0,0,69,0.645,61.92,0.5,0.5
7,0,0,0,40,0,0,0,24,24,99999,0,0,70,2.218,53.232,0.4,0.4
7,0,1,0,157,0,0,0,12,12,99999,0,0,71,0.227,2.724,0.5,0.5
7,0,2,0,8,0,0,0,40,40,99999,0,0,72,0.381,15.24,0.4,0.4
7,0,3,0,493,0,0,0,72,72,99999,0,0,73,0.931,67.032,0.6,0.6
7,0,4,0,21,0,0,0,432,432,99999,0,0,74,0.165,71.28,0.4,0.4
7,0,5,0,141,0,0,0,30,30,99999,0,0,75,0.454,13.62,0.5,0.5
7,0,6,0,44,0,0,0,120,120,99999,0,0,76,0.62,74.4,0.4,0.4
7,0,7,0,361,0,0,0,312,312,99999,0,0,77,0.328,102.336,0.6,0.6
7,0,8,0,0,0,0,0,36,36,99999,0,0,78,1.602,57.672,0.4,0.4
7,0,9,0,399,0,0,0,50,50,99999,0,0,79,0.236,11.8,0.6,0.6
8,0,0,0,388,0,0,0,60,60,99999,0,0,80,0.48,28.8,0.6,0.6
8,0,1,0,180,0,0,0,216,216,99999,0,0,81,0.408,88.128,0.5,0.5
8,0,2,0,496,0,0,0,56,56,99999,0,0,82,1.468,82.208,0.6,0.6
8,0,3,0,0,0,0,0,36,36,99999,0,0,83,1.602,57.672,0.4,0.4
8,0,4,0,118,0,0,0,180,180,99999,0,0,84,0.1,18.0,0.5,0.5
8,0,5,0,65,0,0,0,24,24,99999,0,0,85,0.49,11.76,0.5,0.5
