robot_name,robot_state,robot_destination,intersection_start_time,intersection_finish_time,intersection_id,energy_consumption_intersection,queueing_robot
robot-15,taking_pod,"(13,14)",3.8999999999999986,11.400000000000016,15-15,0.002188125,0
robot-2,taking_pod,"(16,17)",12.300000000000018,12.90000000000002,15-15,0.0005793749999999999,0
robot-19,taking_pod,"(19,13)",15.450000000000026,19.64999999999999,15-15,0.0013387500000000003,1
robot-5,delivering_pod,"(4,15)",18.450000000000003,25.949999999999932,15-12,0.002188125,0
robot-2,delivering_pod,"(4,15)",18.9,26.399999999999928,15-15,0.0021393750000000002,0
robot-7,delivering_pod,"(4,15)",27.899999999999913,32.69999999999987,15-15,0.00208875,2
robot-16,delivering_pod,"(4,21)",30.29999999999989,34.79999999999985,15-15,0.005190625,1
robot-19,delivering_pod,"(4,15)",36.149999999999835,40.64999999999979,15-15,0.005379374999999998,2
robot-13,taking_pod,"(18,13)",38.09999999999982,43.04999999999977,15-15,0.002200625,1
robot-13,delivering_pod,"(4,9)",60.14999999999961,65.24999999999962,15-15,0.005566874999999999,1
robot-10,returning_pod,"(12,16)",96.3000000000008,101.10000000000097,15-15,0.0021374999999999996,1
robot-18,returning_pod,"(18,11)",110.10000000000132,114.00000000000146,15-12,0.005578125,1
robot-10,taking_pod,"(34,14)",112.65000000000141,116.70000000000157,15-15,0.001340625,0
robot-10,taking_pod,"(34,14)",116.70000000000157,120.00000000000169,15-12,0.00067875,1
robot-15,returning_pod,"(13,14)",122.8500000000018,127.65000000000198,15-15,0.0021374999999999996,1
robot-18,taking_pod,"(12,25)",130.50000000000207,134.55000000000223,15-15,0.001628125,0
robot-15,taking_pod,"(19,16)",137.70000000000235,138.30000000000237,15-12,0.0006693749999999998,0
robot-15,taking_pod,"(19,16)",143.85000000000258,144.75000000000261,15-15,0.000598125,0
robot-13,returning_pod,"(18,13)",142.20000000000252,146.25000000000267,15-12,0.0057375,2
robot-16,returning_pod,"(20,11)",144.0000000000026,148.35000000000275,15-12,0.005086249999999999,1
