order_id,order_arrival,process_start_time,order_complete_time,station_id
-45,0,1,61,picker-1
-19,0,1,101,picker-2
-27,0,1,120,picker-1
-47,0,1,153,picker-3
-42,0,1,157,picker-1
-37,0,1,157,picker-1
-44,0,1,181,picker-3
-36,0,1,189,picker-1
-46,0,1,206,picker-2
-11,0,1,222,picker-3
-26,0,1,250,picker-3
-13,0,1,272,picker-3
-49,0,1,285,picker-2
-17,0,1,285,picker-2
-18,0,1,285,picker-2
-50,0,1,308,picker-2
-9,0,1,317,picker-3
-2,0,1,338,picker-1
-40,0,154,353,picker-3
-48,0,62,360,picker-1
-41,0,121,404,picker-1
-32,0,223,425,picker-3
-39,0,158,427,picker-1
-35,0,182,445,picker-3
-38,0,158,449,picker-1
-43,0,102,464,picker-2
-34,0,190,472,picker-1
-30,0,273,485,picker-3
-33,0,207,486,picker-2
-31,0,251,505,picker-3
-28,0,286,575,picker-2
-29,0,286,597,picker-2
-23,0,318,612,picker-3
-25,0,286,642,picker-2
-21,0,354,674,picker-3
-22,0,339,677,picker-1
-24,0,309,686,picker-2
-20,0,361,722,picker-1
-15,0,426,732,picker-3
-16,0,405,766,picker-1
-8,0,465,768,picker-2
-12,0,446,789,picker-3
-14,0,428,833,picker-1
-6,0,486,850,picker-3
-10,0,450,855,picker-1
-4,0,506,869,picker-3
-5,0,487,877,picker-2
-7,0,473,900,picker-1
-1,0,598,917,picker-2
-3,0,576,938,picker-2
1,360,643,1016,picker-2
3,540,678,1130,picker-1
5,600,723,1156,picker-1
0,360,613,1171,picker-3
7,660,767,1237,picker-1
2,480,675,1260,picker-3
8,660,769,1312,picker-2
10,720,834,1313,picker-1
6,660,733,1327,picker-3
12,780,856,1333,picker-1
14,780,878,1360,picker-2
15,840,901,1377,picker-1
9,720,790,1416,picker-3
4,540,687,1429,picker-2
11,780,851,1438,picker-3
16,1020,1020,1452,picker-2
13,780,870,1483,picker-3
20,1080,1157,1524,picker-1
17,1080,1080,1541,picker-2
18,1080,1080,1563,picker-2
21,1080,1172,1567,picker-3
24,1200,1313,1587,picker-2
23,1140,1261,1588,picker-3
19,1080,1131,1590,picker-1
22,1140,1238,1613,picker-1
26,1260,1328,1617,picker-3
28,1320,1361,1681,picker-2
25,1200,1314,1702,picker-1
30,1440,1440,1750,picker-2
31,1500,1500,1770,picker-2
27,1260,1334,1791,picker-1
32,1500,1500,1814,picker-3
34,1560,1560,1834,picker-3
33,1560,1560,1837,picker-2
35,1620,1620,1914,picker-3
29,1380,1380,1924,picker-1
36,1680,1680,1969,picker-1
41,1920,1920,2012,picker-2
37,1680,1680,2036,picker-1
40,1860,1860,2054,picker-3
38,1680,1680,2081,picker-1
39,1740,1740,2147,picker-1
42,2100,2100,2192,picker-1
44,2160,2160,2220,picker-1
43,2160,2160,2240,picker-1
45,2220,2220,2299,picker-2
46,2280,2280,2380,picker-2
47,2340,2340,2395,picker-1
49,2400,2400,2473,picker-1
48,2400,2400,2513,picker-1
50,2460,2460,2533,picker-1
51,2460,2460,2573,picker-1
53,2520,2520,2633,picker-1
52,2520,2520,2668,picker-2
