robot_name,robot_state,robot_destination,intersection_start_time,intersection_finish_time,intersection_id,energy_consumption_intersection,queueing_robot
robot-8,taking_pod,"(13,14)",2.849999999999999,3.5999999999999988,15-12,0.0006749999999999999,0
robot-4,taking_pod,"(16,10)",9.450000000000012,10.200000000000014,15-15,0.0008287499999999998,0
robot-20,delivering_pod,"(4,9)",14.100000000000023,20.69999999999998,15-15,0.00546,0
robot-12,delivering_pod,"(4,9)",26.549999999999926,30.44999999999989,15-15,0.005578125,2
robot-15,taking_pod,"(11,14)",28.949999999999903,34.79999999999985,15-15,0.0020531250000000003,1
robot-10,delivering_pod,"(4,21)",36.59999999999983,42.599999999999774,15-15,0.004567499999999999,0
robot-16,delivering_pod,"(4,9)",43.649999999999764,47.699999999999726,15-15,0.0057375,1
robot-9,returning_pod,"(13,8)",106.50000000000118,113.40000000000144,15-12,0.005132499999999998,1
robot-8,returning_pod,"(13,14)",109.35000000000129,114.15000000000147,15-15,0.0021374999999999996,1
robot-4,returning_pod,"(16,10)",116.85000000000157,123.75000000000183,15-12,0.005132499999999998,1
robot-8,taking_pod,"(10,8)",129.00000000000202,129.60000000000204,15-12,0.0006693749999999998,1
robot-20,returning_pod,"(20,16)",127.05000000000196,131.1000000000021,15-12,0.0057375,1
robot-20,returning_pod,"(20,16)",142.95000000000255,146.25000000000267,15-15,0.00063,1
robot-12,returning_pod,"(22,17)",147.75000000000273,151.80000000000288,15-12,0.0057375,1
robot-20,taking_pod,"(18,7)",155.55000000000302,156.30000000000305,15-15,0.0008287499999999998,0
robot-10,returning_pod,"(19,16)",155.70000000000303,159.60000000000318,15-12,0.005578125,1
robot-12,taking_pod,"(13,4)",175.05000000000376,181.80000000000402,15-15,0.005049374999999999,2
robot-12,taking_pod,"(13,4)",181.80000000000402,183.9000000000041,15-12,0.002836874999999999,1
robot-18,taking_pod,"(18,25)",183.45000000000408,184.2000000000041,15-15,0.0008287499999999998,1
robot-10,returning_pod,"(19,16)",181.050000000004,185.25000000000415,15-15,0.00130125,1
robot-10,taking_pod,"(22,11)",193.65000000000447,194.4000000000045,15-15,0.0008287499999999998,0
robot-10,delivering_pod,"(4,15)",217.35000000000537,221.40000000000552,15-15,0.0057375,1
robot-19,returning_pod,"(24,13)",229.50000000000583,233.55000000000598,15-12,0.00580125,1
robot-8,delivering_pod,"(4,15)",241.20000000000627,245.10000000000642,15-15,0.005578125,1
robot-16,returning_pod,"(22,13)",250.0500000000066,254.10000000000676,15-12,0.0057375,2
robot-15,returning_pod,"(11,14)",250.0500000000066,254.8500000000068,15-15,0.0021374999999999996,1
robot-10,returning_pod,"(22,11)",254.10000000000676,258.1500000000065,15-12,0.00580125,1
robot-15,taking_pod,"(30,1)",267.75000000000506,275.2500000000039,15-12,0.002149375,0
robot-8,returning_pod,"(29,13)",277.65000000000356,281.55000000000297,15-12,0.005578125,1
robot-16,delivering_pod,"(4,15)",289.05000000000183,292.95000000000124,15-15,0.005578125,1
robot-2,returning_pod,"(37,8)",316.7999999999976,320.69999999999703,15-12,0.005578125,1
robot-6,returning_pod,"(25,13)",326.39999999999617,330.2999999999956,15-12,0.005578125,2
robot-16,returning_pod,"(31,14)",328.1999999999959,332.39999999999526,15-12,0.005075624999999999,1
robot-1,delivering_pod,"(4,15)",328.6499999999958,332.6999999999952,15-15,0.00580125,1
robot-12,delivering_pod,"(4,21)",350.0999999999926,353.999999999992,15-15,0.005578125,1
robot-17,returning_pod,"(26,8)",376.9499999999885,380.9999999999879,15-12,0.00580125,1
robot-6,delivering_pod,"(4,21)",380.8499999999879,384.7499999999873,15-15,0.005578125,1
robot-19,delivering_pod,"(4,9)",401.2499999999848,410.0999999999835,15-12,0.003962499999999999,0
robot-4,taking_pod,"(20,16)",428.24999999998073,429.1499999999806,15-15,0.0005981250000000001,0
robot-5,taking_pod,"(14,17)",430.4999999999804,431.0999999999803,15-12,0.0006693749999999998,0
robot-14,taking_pod,"(12,10)",429.5999999999805,431.6999999999802,15-15,0.002900624999999999,1
robot-14,taking_pod,"(12,10)",431.6999999999802,433.7999999999799,15-12,0.002273125,1
robot-6,returning_pod,"(32,11)",434.09999999997984,437.99999999997925,15-12,0.005578125,1
