order_id,order_arrival,process_start_time,order_complete_time,station_id
-50,0,1,131,picker-3
-50,0,1,131,picker-3
-46,0,1,261,picker-2
-47,0,1,281,picker-1
-44,0,1,305,picker-2
-48,0,1,323,picker-3
-41,0,282,336,picker-1
-42,0,262,346,picker-2
-40,0,306,375,picker-2
-49,0,1,381,picker-3
-36,0,347,421,picker-2
-38,0,337,435,picker-1
-45,0,1,439,picker-3
-37,0,337,452,picker-1
-43,0,132,458,picker-3
-35,0,376,476,picker-2
-39,0,324,477,picker-3
-34,0,382,535,picker-3
-29,0,440,575,picker-3
-32,0,422,621,picker-2
-27,0,459,646,picker-3
-26,0,477,655,picker-2
-30,0,436,735,picker-1
-28,0,453,754,picker-1
