order_id,order_arrival,process_start_time,order_complete_time,station_id
-50,0,1,46,picker-1
-4,0,1,56,picker-3
-46,0,1,66,picker-1
-6,0,1,179,picker-2
-49,0,1,220,picker-2
-48,0,47,224,picker-1
-24,0,1,260,picker-2
-21,0,1,268,picker-1
-37,0,1,270,picker-3
-32,0,1,282,picker-2
-45,0,67,288,picker-1
-34,0,1,299,picker-3
-44,0,1,308,picker-1
-28,0,1,327,picker-3
-12,0,1,327,picker-3
-18,0,1,328,picker-1
-15,0,1,333,picker-2
-1,0,1,371,picker-3
-9,0,1,377,picker-2
-47,0,57,394,picker-3
-43,0,180,422,picker-2
-41,0,225,474,picker-1
-38,0,271,605,picker-3
-40,0,261,645,picker-2
-33,0,289,652,picker-1
-27,0,328,671,picker-3
-30,0,309,673,picker-1
-31,0,300,691,picker-3
-29,0,328,711,picker-3
-26,0,329,728,picker-1
-36,0,283,756,picker-2
-42,0,221,823,picker-2
-25,0,334,867,picker-2
-23,0,372,877,picker-3
-22,0,378,889,picker-2
-35,0,1,899,picker-1
-19,0,423,912,picker-2
-17,0,475,919,picker-1
-39,0,269,939,picker-1
-20,0,395,966,picker-3
-14,0,646,997,picker-2
-16,0,606,1033,picker-3
-10,0,674,1040,picker-1
-11,0,672,1055,picker-3
-8,0,692,1077,picker-3
-13,0,653,1080,picker-1
-3,0,757,1099,picker-2
-7,0,712,1099,picker-3
-5,0,729,1100,picker-1
-2,0,824,1121,picker-2
3,420,900,1189,picker-1
4,420,913,1389,picker-2
7,480,967,1391,picker-3
8,480,998,1411,picker-2
10,600,1041,1431,picker-1
6,480,940,1489,picker-1
