order_id,order_arrival,process_start_time,order_complete_time,station_id
-42,0,1,111,picker-1
-29,0,1,111,picker-1
-40,0,1,130,picker-1
-30,0,1,150,picker-1
-14,0,1,158,picker-3
-8,0,1,158,picker-3
-28,0,1,207,picker-1
-12,0,1,234,picker-3
-13,0,1,265,picker-1
-50,0,1,272,picker-2
-2,0,1,272,picker-3
-21,0,1,370,picker-2
-32,0,1,488,picker-2
-19,0,1,507,picker-2
-48,0,1,571,picker-3
-10,0,1,584,picker-2
-46,0,112,698,picker-1
-47,0,1,728,picker-3
-41,0,159,748,picker-3
-45,0,112,749,picker-1
-49,0,1,758,picker-2
-44,0,131,766,picker-1
