robot_name,robot_state,robot_destination,intersection_start_time,intersection_finish_time,intersection_id,energy_consumption_intersection,queueing_robot
robot-14,taking_pod,"(11,5)",9.00000000000001,9.750000000000012,15-12,0.0008287499999999998,0
robot-7,delivering_pod,"(4,21)",20.249999999999986,24.299999999999947,15-15,0.00580125,2
robot-12,delivering_pod,"(4,21)",22.649999999999963,26.849999999999923,15-15,0.005323124999999999,1
robot-10,taking_pod,"(11,13)",29.999999999999893,30.899999999999885,15-12,0.0005981250000000001,0
robot-20,delivering_pod,"(4,21)",26.999999999999922,31.049999999999883,15-15,0.00580125,2
robot-13,delivering_pod,"(4,15)",29.099999999999902,33.29999999999986,15-15,0.0051606249999999985,2
robot-2,delivering_pod,"(4,21)",31.199999999999882,35.54999999999984,15-15,0.005066249999999999,2
robot-18,delivering_pod,"(4,21)",34.79999999999985,38.99999999999981,15-15,0.0054493749999999985,1
robot-10,delivering_pod,"(4,21)",37.49999999999982,46.34999999999974,15-12,0.003962499999999999,0
robot-6,delivering_pod,"(4,9)",47.849999999999724,51.74999999999969,15-15,0.005578125,1
robot-16,delivering_pod,"(4,9)",111.90000000000138,118.50000000000163,15-15,0.001381875,2
robot-5,taking_pod,"(20,14)",111.45000000000137,120.60000000000171,15-15,0.0024406249999999997,2
robot-6,returning_pod,"(29,13)",116.85000000000157,120.90000000000173,15-12,0.0057375,2
robot-5,taking_pod,"(20,14)",120.60000000000171,123.90000000000184,15-12,0.00067875,1
robot-17,returning_pod,"(12,16)",117.4500000000016,124.95000000000188,15-15,0.0024224999999999997,1
robot-5,delivering_pod,"(4,9)",132.00000000000213,138.60000000000238,15-15,0.00546,0
robot-9,taking_pod,"(14,8)",179.70000000000394,181.650000000004,15-15,0.0026774999999999993,1
robot-9,taking_pod,"(14,8)",181.650000000004,183.7500000000041,15-12,0.002900624999999999,1
robot-11,delivering_pod,"(4,15)",192.30000000000442,196.20000000000456,15-15,0.005578125,2
robot-16,returning_pod,"(16,16)",193.20000000000445,197.4000000000046,15-15,0.00130125,1
robot-5,returning_pod,"(20,14)",219.30000000000544,223.3500000000056,15-12,0.0057375,1
robot-9,returning_pod,"(14,8)",252.00000000000668,258.9000000000064,15-12,0.005196249999999998,1
robot-2,returning_pod,"(29,16)",283.9500000000026,288.000000000002,15-12,0.005418750000000001,1
robot-16,delivering_pod,"(4,15)",282.7500000000028,289.3500000000018,15-15,0.001381875,0
robot-12,delivering_pod,"(4,15)",294.90000000000094,298.95000000000033,15-15,0.00580125,1
robot-9,taking_pod,"(10,16)",304.04999999999956,304.64999999999947,15-12,0.0006693749999999998,1
robot-7,returning_pod,"(36,8)",301.2,305.2499999999994,15-12,0.00580125,1
robot-5,taking_pod,"(13,5)",342.44999999999374,347.09999999999303,15-12,0.0025593749999999996,0
robot-1,taking_pod,"(10,14)",349.3499999999927,352.6499999999922,15-12,0.0007331249999999999,0
robot-16,returning_pod,"(16,16)",350.24999999999255,354.4499999999919,15-15,0.00130125,1
robot-16,delivering_pod,"(4,21)",369.5999999999896,376.1999999999886,15-15,0.001381875,1
robot-7,delivering_pod,"(4,21)",375.1499999999888,379.0499999999882,15-15,0.005578125,1
robot-20,taking_pod,"(13,8)",374.3999999999889,379.0499999999882,15-12,0.0025593749999999996,0
robot-13,taking_pod,"(16,14)",389.6999999999866,391.94999999998623,15-15,0.00245875,1
robot-13,taking_pod,"(16,14)",391.94999999998623,395.24999999998573,15-12,0.0006300000000000001,1
robot-13,delivering_pod,"(4,9)",400.34999999998496,404.39999999998435,15-15,0.001666875,0
robot-10,returning_pod,"(11,13)",401.84999999998473,405.8999999999841,15-12,0.001233125,1
robot-10,delivering_pod,"(4,9)",414.14999999998287,422.9999999999815,15-12,0.003962499999999999,1
robot-12,delivering_pod,"(4,9)",420.4499999999819,424.3499999999813,15-15,0.005578125,1
robot-3,returning_pod,"(25,8)",416.3999999999825,424.94999999998123,15-12,0.005343749999999998,1
robot-1,taking_pod,"(18,2)",420.74999999998187,426.89999999998093,15-12,0.0027112499999999997,0
robot-5,delivering_pod,"(4,9)",489.7499999999714,493.6499999999708,15-15,0.005578125,1
